OrderID,OrderDate,CustomerID,CustomerSegment,ProductCategory,ProductName,UnitPrice,Quantity,Discount,Region,PaymentMode,Revenue,Year,Month,Day,Weekday,RevenuePerItem,DiscountAmount,OrdersPerCustomer,CustomerLifetimeValue,HighRevenueOrder
100001,2023-01-01,1102,Consumer,Furniture,Jeans,14066.28,7.0,0.2,West,Card,78771.17,2023,1,1,Sunday,11253.024285714286,19692.792,6,479184.77,False
100002,2023-01-02,1179,Home Office,Furniture,Chair,26609.405,8.0,0.24,South,Cash,40456.99,2023,1,2,Monday,5057.12375,51090.05759999999,6,423637.77,False
100003,2023-01-03,1092,Corporate,Furniture,T-Shirt,33870.19,8.0,0.27,West,Card,197801.91,2023,1,3,Tuesday,24725.23875,73159.6104,7,845917.4500000001,True
100004,2023-01-04,1014,Consumer,Clothing,Table,47210.32,5.0,0.24,East,UPI,251158.9,2023,1,4,Wednesday,50231.78,56652.384,7,1014337.6900000001,True
100005,2023-01-05,1106,Consumer,Clothing,Table,13594.61,5.0,0.01,East,Cash,67293.32,2023,1,5,Thursday,13458.664,679.7305,3,203380.2,False
100006,2023-01-06,1071,Corporate,Clothing,Table,26609.405,1.0,0.22,North,UPI,18622.7,2023,1,6,Friday,18622.7,5854.0691,3,53177.619999999995,False
100007,2023-01-07,1188,Corporate,Clothing,Mobile,31790.12,9.0,0.06,West,UPI,268944.42,2023,1,7,Saturday,29882.713333333333,17166.6648,6,803633.4199999999,True
100008,2023-01-08,1020,Corporate,Clothing,Laptop,49973.42,7.0,0.04,North,Card,335821.38,2023,1,8,Sunday,47974.48285714286,13992.5576,7,834677.9,True
100009,2023-01-09,1102,Home Office,Furniture,Table,5419.44,2.0,0.19,South,Cash,8779.49,2023,1,9,Monday,4389.745,2059.3871999999997,6,479184.77,False
100010,2023-01-10,1121,Home Office,Furniture,Chair,25028.83,6.0,0.1,North,UPI,135155.68,2023,1,10,Tuesday,22525.946666666667,15017.298000000003,6,823963.21,True
100011,2023-01-11,1074,Consumer,Furniture,Table,19378.98,2.0,0.02,South,Card,37982.8,2023,1,11,Wednesday,18991.4,775.1592,6,910041.25,False
100012,2023-01-12,1087,Corporate,Furniture,Mobile,43317.84,1.0,0.04,East,Card,41585.13,2023,1,12,Thursday,41585.13,1732.7135999999998,3,321034.31,False
100013,2023-01-13,1116,Consumer,Clothing,Jeans,23903.19,7.0,0.0,East,Card,167322.33,2023,1,13,Friday,23903.19,0.0,8,649658.52,True
100014,2023-01-14,1099,Consumer,Clothing,Chair,5726.68,2.0,0.27,West,UPI,8360.95,2023,1,14,Saturday,4180.475,3092.4072000000006,4,85255.54999999999,False
100015,2023-01-15,1103,Consumer,Clothing,Mobile,31794.32,2.0,0.01,South,Card,62952.75,2023,1,15,Sunday,31476.375,635.8864,8,776938.84,False
100016,2023-01-16,1151,Consumer,Electronics,Jeans,38584.87,5.0,0.06,East,Cash,181348.89,2023,1,16,Monday,36269.778000000006,11575.461,9,901739.0800000001,True
100017,2023-01-17,1130,Corporate,Furniture,Chair,343.49,5.0,0.12,West,Cash,1511.36,2023,1,17,Tuesday,302.272,206.094,6,876903.39,False
100018,2023-01-18,1149,Consumer,Furniture,T-Shirt,42976.04,7.0,0.11,West,UPI,267740.73,2023,1,18,Wednesday,38248.67571428571,33091.550800000005,2,268606.23,True
100019,2023-01-19,1052,Corporate,Clothing,Laptop,9463.95,1.0,0.27,North,Cash,6908.68,2023,1,19,Thursday,6908.68,2555.2665,8,1074313.8599999999,False
100020,2023-01-20,1001,Corporate,Furniture,Laptop,27693.05,8.0,0.01,West,Card,219328.96,2023,1,20,Friday,27416.12,2215.444,5,592581.39,True
100021,2023-01-21,1087,Home Office,Furniture,Mobile,20906.72,5.0,0.15,East,UPI,53312.14,2023,1,21,Saturday,10662.428,15680.04,3,321034.31,False
100022,2023-01-22,1157,Corporate,Clothing,Jeans,36038.76,4.0,0.2,North,Card,115324.03,2023,1,22,Sunday,28831.0075,28831.008,4,699118.47,True
100023,2023-01-23,1037,Home Office,Electronics,Laptop,18683.85,9.0,0.28,South,UPI,121071.35,2023,1,23,Monday,13452.372222222222,47083.302,5,362951.96,True
100024,2023-01-24,1129,Corporate,Electronics,Jeans,43514.21,4.0,0.19,South,UPI,140986.04,2023,1,24,Tuesday,35246.51,33070.7996,8,961395.91,True
100025,2023-01-25,1191,Corporate,Electronics,Jeans,36578.72,5.0,0.24,East,Card,138999.14,2023,1,25,Wednesday,27799.828,43894.464,8,1327704.3900000001,True
100026,2023-01-26,1187,Corporate,Clothing,Mobile,32456.12,7.0,0.03,East,Cash,220377.05,2023,1,26,Thursday,31482.43571428571,6815.785199999999,6,395942.47,True
